Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,83.0,83.0,79.0,83.0,83.0,11900.0
2022-11-01,82.0,83.0,81.0,83.0,83.0,4300.0
2022-11-02,82.0,82.0,78.0,81.0,81.0,5100.0
2022-11-03,79.0,81.0,78.0,81.0,81.0,26300.0
2022-11-04,83.0,83.0,80.0,83.0,83.0,12100.0
2022-11-05,83.0,83.0,80.0,83.0,83.0,12100.0
2022-11-06,83.0,83.0,80.0,83.0,83.0,12100.0
2022-11-07,82.0,87.0,79.0,81.0,81.0,38800.0
2022-11-08,85.0,85.0,78.0,84.0,84.0,28700.0
2022-11-09,83.0,84.0,80.0,83.0,83.0,15700.0
2022-11-10,83.0,83.0,79.0,79.0,79.0,4200.0
2022-11-11,79.0,83.0,79.0,83.0,83.0,2300.0
2022-11-12,79.0,83.0,79.0,83.0,83.0,2300.0
2022-11-13,79.0,83.0,79.0,83.0,83.0,2300.0
2022-11-14,83.0,84.0,81.0,83.0,83.0,3800.0
2022-11-15,82.0,82.0,81.0,81.0,81.0,900.0
2022-11-16,81.0,84.0,79.0,84.0,84.0,64800.0
2022-11-17,84.0,84.0,82.0,83.0,83.0,3900.0
2022-11-18,83.0,83.0,82.0,83.0,83.0,3600.0
2022-11-19,83.0,83.0,82.0,83.0,83.0,3600.0
2022-11-20,83.0,83.0,82.0,83.0,83.0,3600.0
2022-11-21,83.0,83.0,83.0,83.0,83.0,1000.0
2022-11-22,83.0,83.0,82.0,82.0,82.0,3600.0
2022-11-23,82.0,82.0,82.0,82.0,82.0,1400.0
2022-11-24,80.0,80.0,79.0,79.0,79.0,7000.0
2022-11-25,79.0,82.0,79.0,82.0,82.0,3600.0
2022-11-26,79.0,82.0,79.0,82.0,82.0,3600.0
2022-11-27,79.0,82.0,79.0,82.0,82.0,3600.0
2022-11-28,81.0,81.0,81.0,81.0,81.0,200.0
2022-11-29,80.0,81.0,79.0,81.0,81.0,62300.0
2022-11-30,81.0,81.0,81.0,81.0,81.0,1200.0
2022-12-01,81.0,83.0,80.0,83.0,83.0,7900.0
2022-12-02,83.0,84.0,82.0,83.0,83.0,5800.0
2022-12-03,83.0,84.0,82.0,83.0,83.0,5800.0
2022-12-04,83.0,84.0,82.0,83.0,83.0,5800.0
2022-12-05,83.0,84.0,79.0,84.0,84.0,6500.0
2022-12-06,84.0,84.0,83.0,83.0,83.0,1800.0
2022-12-07,83.0,83.0,83.0,83.0,83.0,1300.0
2022-12-08,83.0,83.0,83.0,83.0,83.0,1300.0
2022-12-09,83.0,83.0,82.0,83.0,83.0,1100.0
2022-12-10,83.0,83.0,82.0,83.0,83.0,1100.0
2022-12-11,83.0,83.0,82.0,83.0,83.0,1100.0
2022-12-12,80.0,83.0,80.0,83.0,83.0,600.0
2022-12-13,84.0,84.0,83.0,83.0,83.0,13300.0
2022-12-14,84.0,84.0,84.0,84.0,84.0,2100.0
2022-12-15,80.0,84.0,80.0,84.0,84.0,5200.0
2022-12-16,84.0,84.0,82.0,82.0,82.0,2300.0
2022-12-17,84.0,84.0,82.0,82.0,82.0,2300.0
2022-12-18,84.0,84.0,82.0,82.0,82.0,2300.0
2022-12-19,84.0,84.0,82.0,84.0,84.0,3400.0
2022-12-20,84.0,84.0,82.0,84.0,84.0,3400.0
2022-12-21,83.0,84.0,83.0,83.0,83.0,5900.0
2022-12-22,84.0,84.0,83.0,83.0,83.0,2300.0
2022-12-23,82.0,82.0,81.0,82.0,82.0,2900.0
2022-12-24,82.0,82.0,81.0,82.0,82.0,2900.0
2022-12-25,82.0,82.0,81.0,82.0,82.0,2900.0
2022-12-26,83.0,83.0,82.0,82.0,82.0,4200.0
2022-12-27,82.0,82.0,77.0,78.0,78.0,121200.0
2022-12-28,82.0,82.0,81.0,82.0,82.0,4400.0
2022-12-29,82.0,82.0,81.0,81.0,81.0,4200.0
2022-12-30,81.0,81.0,81.0,81.0,81.0,2100.0
2022-12-31,81.0,81.0,81.0,81.0,81.0,2100.0
2023-01-01,81.0,81.0,81.0,81.0,81.0,2100.0
2023-01-02,82.0,82.0,80.0,80.0,80.0,2700.0
2023-01-03,80.0,80.0,80.0,80.0,80.0,14600.0
2023-01-04,80.0,81.0,80.0,81.0,81.0,1900.0
2023-01-05,80.0,80.0,79.0,80.0,80.0,5800.0
2023-01-06,80.0,80.0,79.0,80.0,80.0,2100.0
2023-01-07,80.0,80.0,79.0,80.0,80.0,2100.0
2023-01-08,80.0,80.0,79.0,80.0,80.0,2100.0
2023-01-09,81.0,81.0,79.0,79.0,79.0,4300.0
2023-01-10,79.0,79.0,78.0,79.0,79.0,2200.0
2023-01-11,81.0,81.0,80.0,80.0,80.0,15100.0
2023-01-12,81.0,81.0,79.0,79.0,79.0,52200.0
2023-01-13,82.0,82.0,79.0,80.0,80.0,13600.0
2023-01-14,82.0,82.0,79.0,80.0,80.0,13600.0
2023-01-15,82.0,82.0,79.0,80.0,80.0,13600.0
2023-01-16,80.0,80.0,79.0,80.0,80.0,6800.0
2023-01-17,80.0,80.0,79.0,79.0,79.0,18300.0
2023-01-18,79.0,79.0,79.0,79.0,79.0,5900.0
2023-01-19,79.0,82.0,79.0,80.0,80.0,9200.0
2023-01-20,81.0,81.0,80.0,80.0,80.0,2400.0
2023-01-21,81.0,81.0,80.0,80.0,80.0,2400.0
2023-01-22,81.0,81.0,80.0,80.0,80.0,2400.0
2023-01-23,81.0,81.0,80.0,80.0,80.0,2400.0
2023-01-24,80.0,80.0,79.0,80.0,80.0,5300.0
2023-01-25,79.0,79.0,78.0,79.0,79.0,14600.0
2023-01-26,78.0,79.0,78.0,78.0,78.0,2600.0
2023-01-27,78.0,78.0,78.0,78.0,78.0,13000.0
2023-01-28,78.0,78.0,78.0,78.0,78.0,13000.0
2023-01-29,78.0,78.0,78.0,78.0,78.0,13000.0
2023-01-30,82.0,82.0,79.0,79.0,79.0,3200.0
2023-01-31,82.0,82.0,80.0,80.0,80.0,6500.0
2023-02-01,79.0,79.0,79.0,79.0,79.0,4300.0
2023-02-02,81.0,81.0,77.0,77.0,77.0,13400.0
2023-02-03,77.0,77.0,76.0,77.0,77.0,18300.0
2023-02-04,77.0,77.0,76.0,77.0,77.0,18300.0
2023-02-05,77.0,77.0,76.0,77.0,77.0,18300.0
2023-02-06,80.0,80.0,79.0,79.0,79.0,1400.0
2023-02-07,82.0,82.0,79.0,79.0,79.0,10300.0
2023-02-08,82.0,82.0,79.0,79.0,79.0,3700.0
2023-02-09,81.0,81.0,80.0,80.0,80.0,2000.0
2023-02-10,81.0,81.0,78.0,78.0,78.0,4300.0
2023-02-11,81.0,81.0,78.0,78.0,78.0,4300.0
2023-02-12,81.0,81.0,78.0,78.0,78.0,4300.0
2023-02-13,82.0,82.0,79.0,79.0,79.0,7400.0
2023-02-14,81.0,81.0,80.0,80.0,80.0,2100.0
2023-02-15,80.0,80.0,80.0,80.0,80.0,700.0
2023-02-16,81.0,84.0,78.0,79.0,79.0,37600.0
2023-02-17,82.0,82.0,78.0,80.0,80.0,11400.0
2023-02-18,82.0,82.0,78.0,80.0,80.0,11400.0
